电影名,主演,上映日期,评分,影评数,热门影评
肖申克的救赎,蒂姆·罗宾斯,"
                            1994 ",9.7,2933213人,希望让人自由。
霸王别姬,张国荣,"
                            1993 ",9.6,2166161人,风华绝代。
阿甘正传,汤姆·汉克斯,"
                            1994 ",9.5,2186682人,一部美国近现代史。
泰坦尼克号,莱昂纳多·迪卡普里奥,"
                            1997 ",9.5,2219697人,失去的才是永恒的。 
这个杀手不太冷,让·雷诺,"
                            1994 ",9.4,2319074人,怪蜀黍和小萝莉不得不说的故事。
千与千寻,柊瑠美,"
                            2001 ",9.4,2270205人,最好的宫崎骏，最好的久石让。 
美丽人生,罗伯托·贝尼尼,"
                            1997 ",9.6,1341190人,最美的谎言。
星际穿越,马修·麦康纳,"
                            2014 ",9.4,1873943人,爱是一种力量，让我们超越时空感知它的存在。
辛德勒的名单,连姆·尼森,"
                            1993 ",9.6,1119124人,拯救一个人，就是拯救整个世界。
盗梦空间,莱昂纳多·迪卡普里奥,"
                            2010 ",9.4,2090785人,诺兰给了我们一场无法盗取的梦。
楚门的世界,金·凯瑞,"
                            1998 ",9.4,1737774人,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事,理查·基尔,"
                            2009 ",9.4,1412288人,永远都不能忘记你所爱的人。
海上钢琴师,蒂姆·罗斯,"
                            1998 ",9.3,1695814人,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,阿米尔·汗,"
                            2009 ",9.2,1878524人,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,让-巴蒂斯特·莫尼...,"
                            2004 ",9.3,1327209人,天籁一般的童声，是最接近上帝的存在。 
机器人总动员,本·贝尔特,"
                            2008 ",9.3,1331516人,小瓦力，大人生。
疯狂动物城,金妮弗·...,"
                            2016 ",9.2,1966474人,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道,刘德华,"
                            2002 ",9.3,1382563人,香港电影史上永不过时的杰作。
控方证人,泰隆·鲍华,"
                            1957 ",9.6,573907人,比利·怀德满分作品。
大话西游之大圣娶亲,周星驰,"
                            1995 ",9.2,1550417人,一生所爱。
熔炉,孔侑,"
                            2011 ",9.4,941305人,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,马龙·白兰度,"
                            1972 ",9.3,980312人,千万不要记恨你的对手，这样会让你失去理智。
触不可及,未知,"
                            2011 ",9.3,1131671人,满满温情的高雅喜剧。
当幸福来敲门,威尔·史密斯,"
                            2006 ",9.2,1536750人,平民励志片。 
末代皇帝,尊龙,"
                            1987 ",9.3,898893人,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,...,"
                            2017 ",9.1,1707135人,死亡不是真的逝去，遗忘才是永恒的消亡。
龙猫,日高法子,"
                            1988 ",9.2,1280712人,人人心中都有个龙猫，童年就永远不会消失。
怦然心动,玛德琳·卡罗尔,"
                            2010 ",9.1,1854200人,真正的幸福是来自内心深处。
活着,葛优,"
                            1994 ",9.3,857221人,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,克里斯蒂安·贝尔,"
                            2008 ",9.2,1074922人,无尽的黑暗。
哈利·波特与魔法石,Daniel,"
                            2001 ",9.2,1210471人,童话世界的开端。
指环王3：王者无敌,伊利亚·伍德,"
                            2003 ",9.3,813565人,史诗的终章。
我不是药神,徐峥,"
                            2018 ",9.0,2129661人,对我们国家而言，这样的电影多一部是一部。
乱世佳人,费...,"
                            1939 ",9.3,700068人,Tomorrow is another day.
飞屋环游记,爱德...,"
                            2009 ",9.1,1342123人,最后那些最无聊的事情，才是最值得怀念的。 
素媛,薛景求,"
                            2013 ",9.3,695443人,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
哈尔的移动城堡,倍赏千惠子,"
                            2004 ",9.1,1039929人,带着心爱的人在天空飞翔。
十二怒汉,亨利·方达,"
                            1957 ",9.4,498241人,1957年的理想主义。 
何以为家,扎因·拉费阿,"
                            2018 ",9.1,1056945人,凝视卑弱生命，用电影改变命运。
摔跤吧！爸爸,阿米尔·汗,"
                            2016 ",9.0,1586292人,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
让子弹飞,姜文,"
                            2010 ",9.0,1719628人,你给我翻译翻译，神马叫做TMD的惊喜。
猫鼠游戏,莱昂纳多·迪卡普里奥,"
                            2002 ",9.1,1042274人,骗子大师和执著警探的你追我跑故事。 
天空之城,田中真弓,"
                            1986 ",9.2,886099人,对天空的追逐，永不停止。 
鬼子来了,姜文,"
                            2000 ",9.3,634458人,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,苏拉·沙玛,"
                            2012 ",9.1,1362810人,瑰丽壮观、无人能及的冒险之旅。
海蒂和爷爷,阿努克·斯特芬,"
                            2015 ",9.3,628455人,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
钢琴家,艾德里安·布洛迪,"
                            2002 ",9.3,650569人,音乐能化解仇恨。
大话西游之月光宝盒,周星驰,"
                            1995 ",9.0,1234521人,旷古烁今。
指环王2：双塔奇兵,伊利亚·伍德,"
                            2002 ",9.2,763269人,承前启后的史诗篇章。
闻香识女人,阿尔·帕西诺,"
                            1992 ",9.1,898186人,史上最美的探戈。
罗马假日,奥黛丽·赫本,"
                            1953 ",9.1,959805人,爱情哪怕只有一天。
死亡诗社,罗宾·威廉姆斯,"
                            1989 ",9.2,738228人,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书,维果·莫腾森,"
                            2018 ",8.9,1670569人,去除成见，需要勇气。
